old_local,new_local
Berg_LyrischeSuite_4,Berg_LyrischeSuite_6
Bischof_Und_so_sink_ich_leise_in_mich_selbst_hinein_sterreichischer_Liederzyklus_für_Mezzosopran_und_Violine_Op_17,Bischof_Und_so_sink_ich_leise_in_mich_selbst_hinein_Österreichischer_Liederzyklus_für_Mezzosopran_und_Violine_Op_17
Boulez_Le_Marteau_sans_Ma_tre_alternative_view,Boulez_Le_Marteau_sans_Maître_alternative_view
Boulez_Le_Marteau_sans_Ma_tre_cycle_of_Bel_difice_et_les_pressentiments,Boulez_Le_Marteau_sans_Maître_cycle_of_Bel_Édifice_et_les_pressentiments
Boulez_Le_Marteau_sans_Ma_tre_cycle_of_Bourreaux_de_solitude,Boulez_Le_Marteau_sans_Maître_cycle_of_Bourreaux_de_solitude
Boulez_Le_Marteau_sans_Ma_tre_cycle_of_L_Artisanat_furieux,Boulez_Le_Marteau_sans_Maître_cycle_of_L_Artisanat_furieux
Eisler_Palmstr_m_Op_5_No_2,Eisler_Palmström_Op_5_No_2
Eisler_Palmstr_m_Op_5_No_4,Eisler_Palmström_Op_5_No_4
Eisler_Palmstr_m_Op_5_No_5,Eisler_Palmström_Op_5_No_5
Eisler_Praeludium_und_Fuge_ber_B_A_C_H_for_String_Trio_Op_46,Eisler_Praeludium_und_Fuge_über_B_A_C_H_for_String_Trio_Op_46
Eisler_Zwei_Elegien_No_1_In_die_St_dte_kam_ich,Eisler_Zwei_Elegien_No_1_In_die_Städte_kam_ich
Eisler_Zwei_Elegien_No_2_An_die_berlebenden,Eisler_Zwei_Elegien_No_2_An_die_Überlebenden
Florey_J_nglingstrauer_für_Singstimme_und_Klavier,Florey_Jünglingstrauer_für_Singstimme_und_Klavier
Florey_Magischer_W_rfel_mit_6_Spiegelpunkten,Florey_Magischer_Würfel_mit_6_Spiegelpunkten
Hauer_Durch_Dick_und_D_nn_zum_Staatsvertrag_Marsch_für_Klavier_zu_vier_Händen,Hauer_Durch_Dick_und_Dünn_zum_Staatsvertrag_Marsch_für_Klavier_zu_vier_Händen
Hauer_Empedokles_dramatische_Ges_nge_in_zwei_Teilen_für_Soli_M_nnerchor_und_Orchester_Opus_68,Hauer_Empedokles_dramatische_Gesänge_in_zwei_Teilen_für_Soli_Männerchor_und_Orchester_Opus_68
Hauer_Kammermusik_Zwölftonspiel_für_Flöte_Oboe_Ba_klarinette_Fagott_zwei_Violinen_Bratsche_Cello_und_Klavier_zu_vier_Händen_24_J_nner_1957,Hauer_Kammermusik_Zwölftonspiel_für_Flöte_Oboe_Baßklarinette_Fagott_zwei_Violinen_Bratsche_Cello_und_Klavier_zu_vier_Händen_24_Jänner_1957
Hauer_Klavierstücke_mit_berschriften_nach_Worten_von_Friedrich_Hölderlin_Op_25_No_10,Hauer_Klavierstücke_mit_Überschriften_nach_Worten_von_Friedrich_Hölderlin_Op_25_No_10
Hauer_Langsamer_Walzer_Zwölftonspiel_für_Orchester_10_J_nner_1957,Hauer_Langsamer_Walzer_Zwölftonspiel_für_Orchester_10_Jänner_1957
Hauer_Langsamer_Walzer_Zwölftonspiel_für_Orchester_19_J_nner_1957,Hauer_Langsamer_Walzer_Zwölftonspiel_für_Orchester_19_Jänner_1957
Hauer_Sieben_Charakterstücke_mit_berschriften_für_Violine_allein_Op_56,Hauer_Sieben_Charakterstücke_mit_Überschriften_für_Violine_allein_Op_56
Hauer_Sinfonietta_in_drei_S_tzen_Symphonische_Stücke_für_großes_Orchester_Op_50,Hauer_Sinfonietta_in_drei_Sätzen_Symphonische_Stücke_für_großes_Orchester_Op_50
Hauer_Tanz_tibetanischer_M_nche_im_langsamen_3_4_Takt_Zwölftonspiel_8_September_1956,Hauer_Tanz_tibetanischer_Mönche_im_langsamen_3_4_Takt_Zwölftonspiel_8_September_1956
Hauer_Violinkonzert_Op_54_9_M_rz_6_April_1928,Hauer_Violinkonzert_Op_54_9_März_6_April_1928
Hauer_XXI_Zwölftonspiel_für_Orchester_mit_einer_Zwölftonreihe_die_in_sechs_Tropen_steht_und_vom_Kulturreferenten_der_Stadt_Wien_Dr_Viktor_Matejka_gew_hlt_wurde_Erster_Teil_2_4_Takt_Halbe_50_mit_achttaktigen_Perioden_zweiter_Teil_im_3_4_Takt_punktierte_Halbe_40_mit_sechstaktigen_Perioden,Hauer_XXI_Zwölftonspiel_für_Orchester_mit_einer_Zwöfftonreihe_die_in_sechs_Tropen_steht_und_vom_Kulturreferenten_der_Stadt_Wien_Dr_Viktor_Matejka_gewählt_wurde_Erster_Teil_2_4_Takt_Halbe_50_mit_achttaktigen_Perioden_zweiter_Teil_im_3_4_Takt_punktierte_Halbe_40_mit_sechstaktigen_Perioden
Hauer_Zwölftonspiel_J_nner_1957_für_zwei_Violinen_Bratsche_und_Cello,Hauer_Zwölftonspiel_Jänner_1957_für_zwei_Violinen_Bratsche_und_Cello
Hauer_Zwölftonspiel_M_rz_1958_für_Kammerorchester,Hauer_Zwölftonspiel_März_1958_für_Kammerorchester
Hauer_Zwölftonspiel_für_Flöte_Fagott_Ba_klarinette_zwei_Violinen_Bratsche_und_Cello_J_nner_1958,Hauer_Zwölftonspiel_für_Flöte_Fagott_Baßklarinette_zwei_Violinen_Bratsche_und_Cello_Jänner_1958
Hauer_Zwölftonspiel_für_Klavier_M_rz_1953,Hauer_Zwölftonspiel_für_Klavier_März_1953
Hauer_Zwölftonspiel_für_Klavier_zu_vier_Händen_13_M_rz_1952,Hauer_Zwölftonspiel_für_Klavier_zu_vier_Händen_13_März_1952
Hauer_Zwölftonspiel_für_Klavier_zu_vier_Händen_Violine_Bratsche_Cello_und_Kontraba_melischer_Entwurf_vom_29_8_1954,Hauer_Zwölftonspiel_für_Klavier_zu_vier_Händen_Violine_Bratsche_Cello_und_Kontrabaß_melischer_Entwurf_vom_29_8_1954
Hauer_Zwölftonspiel_für_zwei_Violinen_Bratsche_und_Cello_12_J_nner_1954,Hauer_Zwölftonspiel_für_zwei_Violinen_Bratsche_und_Cello_12_Jänner_1954
Hauer_Zwölftonspiel_für_zwei_Violinen_Bratsche_und_Cello_Ins_R_umliche_bertragen_3_September_1953,Hauer_Zwölftonspiel_für_zwei_Violinen_Bratsche_und_Cello_Ins_Räumliche_übertragen_3_September_1953
Hauer_Zwölftonspiel_für_zwei_Violinen_Bratsche_und_Cello_J_nner_1948,Hauer_Zwölftonspiel_für_zwei_Violinen_Bratsche_und_Cello_Jänner_1948
Hendler_aus_den_fünf_Liedern_nach_Texten_von_Elisabeth_P_schl_Sonnenaufgang_für_Singstimme_und_Klavier_Op_44_1,Hendler_aus_den_fünf_Liedern_nach_Texten_von_Elisabeth_Pöschl_Sonnenaufgang_für_Singstimme_und_Klavier_Op_44_1
Husa_Po_me_for_Viola_and_Chamber_Orchestra_mvt_1,Husa_Poème_for_Viola_and_Chamber_Orchestra_mvt_1
Husa_Po_me_for_Viola_and_Chamber_Orchestra_mvt_2,Husa_Poème_for_Viola_and_Chamber_Orchestra_mvt_2
Husa_Po_me_for_Viola_and_Chamber_Orchestra_mvt_3,Husa_Poème_for_Viola_and_Chamber_Orchestra_mvt_3
Krenek_Zwölf_Variationen_in_Drei_S_tzen_Op_79,Krenek_Zwölf_Variationen_in_Drei_Sätzen_Op_79
Kurtág_The_Sayings_of_P_ter_Bornemisza_Op_7,Kurtág_The_Sayings_of_Péter_Bornemisza_Op_7
Lackner_An_alle_Au_erirdischen_Kanon_für_drei_Singstimmen_Kontraba_und_Klavier,Lackner_An_alle_Außerirdischen_Kanon_für_drei_Singstimmen_Kontrabaß_und_Klavier
Lackner_Es_fiel_ein_Reif_in_der_Fr_hlingsnacht_für_Singstimme_und_ein_Melodie_Instrument,Lackner_Es_fiel_ein_Reif_in_der_Frühlingsnacht_für_Singstimme_und_ein_Melodie_Instrument
Lackner_Kanon_4_für_Harald_Fripertinger_zum_50_Geburtstag,Lackner_Kanon_à_4_Für_Harald_Fripertinger_zum_50_Geburtstag
Lackner_Kanon_5_für_Klaus_Chudoba,Lackner_Kanon_á_5_für_Klaus_Chudoba
Lackner_Kanon_für_Hammerklavier_M_rz_2016,Lackner_Kanon_für_Hammerklavier_März_2016
Lackner_Kanon_für_Klavier_zu_vier_Händen_Fr_hling_1984,Lackner_Kanon_für_Klavier_zu_vier_Händen_Frühling_1984
Lackner_Kanon_für_Streichquartett_3_J_nner_1990,Lackner_Kanon_für_Streichquartett_3_Jänner_1990
Lackner_Kanon_für_Tenor_Hackbrett_19_M_rz_2014,Lackner_Kanon_für_Tenor_Hackbrett_19_März_2014
Lackner_Kanon_für_acht_Instrumente_Dezember_1991_M_rz_2007,Lackner_Kanon_für_acht_Instrumente_Dezember_1991_März_2007
Lackner_Kanon_für_sechs_Instrumente_16_M_rz_2009,Lackner_Kanon_für_sechs_Instrumente_16_März_2009
Lackner_Kanon_für_zwei_Violinen_Fr_hjahr_1992,Lackner_Kanon_für_zwei_Violinen_Frühjahr_1992
Lackner_Kanon_für_zwei_Violinen_und_Klavier_Fr_hjahr_1984,Lackner_Kanon_für_zwei_Violinen_und_Klavier_Frühjahr_1984
Lackner_Krebs_Kanon_4,Lackner_Krebs_Kanon_à_4
Lackner_Lied_des_Harfenm_dchens_II_für_Flöte_Klarinette_Posaune_Violine_Cello_und_Klavier,Lackner_Lied_des_Harfenmädchens_II_für_Flöte_Klarinette_Posaune_Violine_Cello_und_Klavier
Lackner_Lied_des_Harfenm_dchens_für_Frauenstimme_und_Klavier,Lackner_Lied_des_Harfenmädchens_für_Frauenstimme_und_Klavier
Lackner_Salambo_Kanon_4_Bad_Aussee_2_Februar_2008,Lackner_Salambo_Kanon_à_4_Bad_Aussee_2_Februar_2008
LangK_Von_der_Ligurischen_Küste_zum_Trasimenischen_See_Trauermusik_für_Violine_und_Klavier,Lang_Von_der_Ligurischen_Küste_zum_Trasimenischen_See_Trauermusik_für_Violine_und_Klavier
Lang_K_stenlinien_für_zwei_Klaviere_und_doppeltes_Schlagwerk,Lang_Küstenlinien_für_zwei_Klaviere_und_doppeltes_Schlagwerk
Leibowitz_Trois_pi_ces_pour_piano_Op_19,Leibowitz_Trois_pièces_pour_piano_Op_19
Li_Tr_umerei_of_Jiuzhai_Gou,Li_Träumerei_of_Jiuzhai_Gou
Lu_A_Family_ofüred_Crowned_Cranes,Lu_A_Family_of_Red_Crowned_Cranes
Lutosławski_Musique_Fun_bre_Funeral_Music,Lutosławski_Musique_Funébre_Funeral_Music
Messiaen_Mode_de_valeurs_et_d_intensit_s_Series_1,Messiaen_Mode_de_valeurs_et_d_intensités_Series_1
Messiaen_Mode_de_valeurs_et_d_intensit_s_Series_2,Messiaen_Mode_de_valeurs_et_d_intensités_Series_2
Messiaen_Mode_de_valeurs_et_d_intensit_s_Series_3,Messiaen_Mode_de_valeurs_et_d_intensités_Series_3
Nono_Sar_dolce_tacere,Nono_Sarà_dolce_tacere
Preßl_Sonnenunterg_nge_nach_meinem_Tode_Fünf_Haikus_nach_G_nther_Klinge_für_Sprechgesang_Alt_Saxophon_und_Crotales,Preßl_Sonnenuntergänge_nach_meinem_Tode_Fünf_Haikus_nach_Günther_Klinge_für_Sprechgesang_Alt_Saxophon_und_Crotales
Sande_4032_T_ne_für_Klavier_sechshändig,Sande_4032_Töne_für_Klavier_sechshändig
Santoro_Inven_es_a_duas_vozes_Two_Part_inventions,Santoro_Invenções_a_duas_vozes_Two_Part_inventions
Stravinsky_Epitaphium_für_das_Grabmal_des_Prinzen_Max_Egon_zu_fürstenberg,Stravinsky_Epitaphium_für_das_Grabmal_des_Prinzen_Max_Egon_zu_Fürstenberg
Zenk_Tr_nen_Op_5_No_4,Zenk_Tränen_Op_5_No_4
